age,gender,category,state,occupation,annual_income,disability,is_minority,scheme_id,eligible
72,Female,SC,Kerala,Senior Citizen,395711,Yes,Yes,S035,No
42,Male,ST,Karnataka,Government Employee,550179,Yes,No,S100,No
71,Male,SC,Andhra Pradesh,Student,181081,Yes,Yes,S127,Yes
23,Female,OBC,Maharashtra,Farmer,597719,Yes,No,S074,No
19,Male,ST,Maharashtra,Farmer,104517,Yes,Yes,S109,Yes
52,Female,General,Andhra Pradesh,Senior Citizen,466308,Yes,No,S001,No
80,Female,SC,Kerala,Private Employee,391461,Yes,No,S057,No
53,Male,SC,Maharashtra,Farmer,173047,No,No,S137,No
18,Male,ST,Telangana,Private Employee,358220,No,Yes,S143,No
31,Female,ST,Maharashtra,Government Employee,503265,Yes,No,S110,No
69,Female,ST,Maharashtra,Senior Citizen,176839,No,No,S066,Yes
47,Female,General,Andhra Pradesh,Government Employee,214407,No,No,S059,Yes
43,Male,General,Telangana,Student,344607,Yes,Yes,S100,No
41,Male,SC,Andhra Pradesh,Senior Citizen,150828,Yes,Yes,S070,Yes
42,Male,ST,Tamil Nadu,Senior Citizen,492989,No,Yes,S068,Yes
53,Female,ST,Telangana,Student,569473,No,No,S139,No
36,Female,OBC,Telangana,Private Employee,253797,Yes,No,S139,No
42,Male,ST,Andhra Pradesh,Unemployed,439818,Yes,Yes,S049,No
46,Male,SC,Tamil Nadu,Senior Citizen,422074,No,Yes,S131,No
61,Female,General,Kerala,Unemployed,576170,No,Yes,S147,No
63,Female,ST,Tamil Nadu,Student,368963,No,Yes,S120,No
79,Male,General,Telangana,Senior Citizen,265850,Yes,Yes,S066,No
19,Male,General,Telangana,Government Employee,163728,Yes,Yes,S062,Yes
47,Male,ST,Kerala,Senior Citizen,400591,No,Yes,S044,No
19,Male,General,Telangana,Farmer,153392,No,Yes,S020,No
28,Male,ST,Tamil Nadu,Government Employee,450865,No,No,S120,No
55,Male,OBC,Maharashtra,Unemployed,83256,No,No,S123,Yes
45,Male,ST,Maharashtra,Senior Citizen,536852,Yes,Yes,S054,No
37,Female,General,Maharashtra,Government Employee,303816,No,No,S106,Yes
50,Male,OBC,Maharashtra,Government Employee,470840,No,Yes,S081,No
59,Female,SC,Maharashtra,Senior Citizen,391654,Yes,No,S149,No
48,Male,ST,Karnataka,Student,339621,Yes,Yes,S138,No
31,Female,General,Karnataka,Government Employee,464231,Yes,Yes,S105,No
38,Male,SC,Telangana,Private Employee,142174,Yes,Yes,S054,Yes
26,Female,General,Andhra Pradesh,Private Employee,186174,No,Yes,S010,No
45,Male,OBC,Kerala,Student,399604,Yes,Yes,S123,Yes
20,Male,ST,Tamil Nadu,Senior Citizen,193818,Yes,No,S080,No
40,Female,SC,Kerala,Senior Citizen,426147,No,No,S138,No
38,Male,SC,Kerala,Farmer,89902,No,No,S113,Yes
42,Male,ST,Karnataka,Government Employee,498624,No,No,S050,No
58,Female,ST,Andhra Pradesh,Unemployed,107955,Yes,No,S025,Yes
60,Female,General,Tamil Nadu,Farmer,522906,No,Yes,S031,No
46,Female,ST,Kerala,Unemployed,372974,No,No,S123,Yes
66,Female,OBC,Tamil Nadu,Unemployed,285330,No,Yes,S038,No
49,Female,General,Kerala,Farmer,593537,No,Yes,S052,No
44,Female,OBC,Kerala,Senior Citizen,502689,No,No,S051,No
39,Female,SC,Telangana,Government Employee,493312,Yes,No,S109,No
33,Female,OBC,Telangana,Student,597841,No,Yes,S079,No
69,Female,SC,Kerala,Government Employee,93245,No,No,S100,Yes
41,Female,OBC,Maharashtra,Unemployed,298522,No,No,S149,No
79,Male,General,Karnataka,Private Employee,515492,Yes,No,S070,No
46,Female,General,Kerala,Private Employee,340088,No,Yes,S131,No
55,Male,SC,Telangana,Unemployed,103825,No,Yes,S021,Yes
74,Female,ST,Maharashtra,Senior Citizen,357702,No,No,S052,No
38,Male,SC,Karnataka,Farmer,589629,Yes,Yes,S069,No
70,Female,ST,Karnataka,Student,160860,No,No,S120,Yes
48,Female,SC,Karnataka,Unemployed,306105,Yes,Yes,S041,No
75,Female,ST,Andhra Pradesh,Farmer,444710,No,No,S063,No
78,Female,OBC,Kerala,Student,522746,No,Yes,S073,No
32,Female,General,Maharashtra,Private Employee,585726,Yes,Yes,S048,No
30,Female,General,Kerala,Farmer,429752,Yes,Yes,S104,No
44,Female,SC,Telangana,Government Employee,431632,No,No,S141,No
50,Male,ST,Karnataka,Farmer,477132,No,Yes,S061,No
27,Male,ST,Maharashtra,Government Employee,105973,No,No,S003,Yes
41,Female,ST,Kerala,Student,166749,No,Yes,S046,Yes
30,Male,General,Kerala,Government Employee,306482,No,Yes,S036,No
22,Male,General,Karnataka,Senior Citizen,449068,Yes,Yes,S078,No
74,Female,OBC,Karnataka,Farmer,581918,No,Yes,S113,No
29,Female,SC,Tamil Nadu,Farmer,291279,No,Yes,S134,No
44,Male,SC,Telangana,Government Employee,89559,Yes,No,S111,Yes
33,Female,ST,Maharashtra,Student,214937,No,Yes,S041,Yes
45,Male,OBC,Karnataka,Private Employee,484600,Yes,No,S124,No
80,Male,OBC,Kerala,Farmer,234763,Yes,No,S008,Yes
43,Female,General,Tamil Nadu,Farmer,577954,Yes,No,S125,No
48,Female,OBC,Telangana,Government Employee,304094,No,No,S026,No
19,Male,General,Tamil Nadu,Private Employee,530336,Yes,No,S019,No
46,Female,ST,Andhra Pradesh,Government Employee,541672,No,No,S045,No
64,Female,General,Maharashtra,Private Employee,521805,Yes,Yes,S095,No
49,Male,SC,Tamil Nadu,Senior Citizen,123556,Yes,No,S014,No
22,Female,ST,Maharashtra,Student,413436,Yes,Yes,S014,No
61,Male,ST,Tamil Nadu,Farmer,91463,Yes,No,S084,Yes
60,Female,OBC,Tamil Nadu,Student,99983,No,Yes,S112,Yes
49,Female,SC,Telangana,Government Employee,479564,No,Yes,S124,No
42,Male,SC,Kerala,Senior Citizen,359774,No,Yes,S122,Yes
73,Male,ST,Telangana,Farmer,424366,Yes,Yes,S131,No
61,Male,OBC,Karnataka,Unemployed,127970,Yes,No,S079,No
67,Male,ST,Andhra Pradesh,Government Employee,522002,No,Yes,S143,No
38,Male,ST,Andhra Pradesh,Student,291675,Yes,No,S104,No
52,Female,OBC,Telangana,Farmer,146146,Yes,Yes,S090,Yes
55,Female,SC,Karnataka,Unemployed,396267,No,Yes,S130,No
28,Male,ST,Andhra Pradesh,Senior Citizen,295466,No,No,S081,Yes
62,Male,OBC,Tamil Nadu,Private Employee,474598,Yes,Yes,S116,No
75,Female,ST,Maharashtra,Government Employee,170205,No,Yes,S058,Yes
50,Male,SC,Tamil Nadu,Senior Citizen,128770,No,No,S047,Yes
66,Female,OBC,Kerala,Unemployed,410290,No,No,S086,Yes
22,Female,ST,Kerala,Government Employee,447655,Yes,Yes,S085,No
79,Female,SC,Karnataka,Private Employee,349591,Yes,Yes,S106,No
50,Male,OBC,Maharashtra,Government Employee,470840,No,Yes,S115,No
69,Male,General,Tamil Nadu,Unemployed,539242,No,Yes,S121,No
64,Male,SC,Tamil Nadu,Unemployed,89927,Yes,No,S128,Yes
24,Male,General,Kerala,Government Employee,316649,Yes,No,S128,No
23,Female,ST,Maharashtra,Senior Citizen,360203,No,No,S100,No
72,Female,ST,Karnataka,Farmer,277471,No,No,S084,No
42,Female,General,Tamil Nadu,Senior Citizen,474517,No,Yes,S098,No
37,Female,OBC,Karnataka,Senior Citizen,315324,No,No,S049,No
56,Female,SC,Kerala,Unemployed,235694,No,Yes,S014,No
55,Female,ST,Maharashtra,Government Employee,297108,No,Yes,S045,No
63,Female,ST,Tamil Nadu,Student,368963,No,Yes,S056,No
62,Female,ST,Karnataka,Student,273270,No,Yes,S124,No
68,Female,SC,Andhra Pradesh,Private Employee,384840,Yes,Yes,S053,No
70,Female,ST,Kerala,Senior Citizen,202739,Yes,No,S020,No
79,Female,General,Kerala,Farmer,279684,Yes,No,S107,No
50,Female,General,Maharashtra,Private Employee,302969,No,No,S051,No
75,Female,General,Maharashtra,Unemployed,420729,No,No,S077,No
21,Male,SC,Maharashtra,Unemployed,238698,No,Yes,S062,Yes
62,Female,ST,Telangana,Unemployed,154269,Yes,Yes,S091,Yes
32,Male,SC,Kerala,Unemployed,399992,No,Yes,S128,No
68,Female,OBC,Tamil Nadu,Government Employee,487303,No,No,S087,No
57,Female,General,Telangana,Student,285659,No,No,S102,Yes
60,Female,OBC,Andhra Pradesh,Farmer,251095,Yes,Yes,S099,No
68,Female,General,Andhra Pradesh,Private Employee,56249,No,Yes,S132,No
37,Female,SC,Tamil Nadu,Government Employee,321566,Yes,No,S060,Yes
20,Male,OBC,Karnataka,Student,550131,Yes,No,S098,No
67,Female,ST,Andhra Pradesh,Private Employee,512641,No,No,S060,No
20,Male,General,Tamil Nadu,Farmer,116273,Yes,Yes,S056,Yes
75,Female,OBC,Tamil Nadu,Unemployed,267314,No,No,S038,No
20,Female,ST,Andhra Pradesh,Private Employee,72379,No,No,S075,Yes
34,Female,SC,Karnataka,Student,486198,Yes,Yes,S071,Yes
52,Female,OBC,Kerala,Government Employee,267181,Yes,No,S064,No
22,Male,SC,Andhra Pradesh,Private Employee,300267,No,Yes,S013,No
30,Male,General,Tamil Nadu,Student,141388,Yes,No,S025,Yes
20,Male,General,Andhra Pradesh,Student,292503,No,Yes,S027,No
41,Male,General,Maharashtra,Private Employee,126102,No,No,S087,Yes
42,Female,OBC,Telangana,Private Employee,111715,No,No,S049,Yes
21,Female,OBC,Maharashtra,Senior Citizen,561323,No,No,S128,No
60,Male,ST,Maharashtra,Government Employee,282002,No,Yes,S092,No
19,Male,OBC,Kerala,Unemployed,232002,Yes,No,S094,No
73,Female,OBC,Telangana,Private Employee,220280,Yes,Yes,S138,No
48,Female,OBC,Andhra Pradesh,Government Employee,189931,Yes,Yes,S039,Yes
42,Male,General,Andhra Pradesh,Student,308178,No,Yes,S009,No
46,Female,OBC,Telangana,Senior Citizen,556482,Yes,No,S063,No
42,Male,SC,Andhra Pradesh,Private Employee,482413,Yes,No,S058,Yes
33,Female,SC,Kerala,Senior Citizen,126555,No,Yes,S003,Yes
33,Female,General,Andhra Pradesh,Government Employee,457152,Yes,Yes,S069,No
51,Female,General,Kerala,Private Employee,518543,Yes,No,S011,No
50,Female,General,Maharashtra,Government Employee,301719,Yes,Yes,S088,No
19,Male,ST,Andhra Pradesh,Government Employee,184595,Yes,No,S117,No
57,Male,SC,Maharashtra,Unemployed,467334,Yes,No,S041,No
62,Male,SC,Tamil Nadu,Farmer,472560,Yes,Yes,S009,No
31,Female,ST,Maharashtra,Government Employee,91699,Yes,No,S139,Yes
47,Female,SC,Tamil Nadu,Student,286824,No,No,S146,No
21,Female,SC,Tamil Nadu,Student,471330,No,Yes,S097,No
28,Male,OBC,Maharashtra,Student,370948,Yes,Yes,S114,No
64,Female,General,Maharashtra,Farmer,102697,No,No,S014,No
19,Male,ST,Telangana,Unemployed,113923,No,Yes,S030,Yes
50,Female,OBC,Maharashtra,Farmer,507637,No,Yes,S059,No
34,Male,General,Karnataka,Student,272697,No,No,S003,Yes
27,Male,SC,Andhra Pradesh,Student,409341,Yes,Yes,S063,No
63,Male,OBC,Andhra Pradesh,Farmer,564245,Yes,No,S056,No
78,Male,ST,Tamil Nadu,Unemployed,269048,No,Yes,S077,No
70,Male,OBC,Maharashtra,Unemployed,70322,Yes,Yes,S094,Yes
68,Female,ST,Telangana,Government Employee,435277,No,Yes,S069,No
70,Female,OBC,Telangana,Unemployed,422414,Yes,Yes,S140,No
43,Male,ST,Karnataka,Government Employee,237360,No,No,S048,No
19,Female,SC,Andhra Pradesh,Student,329177,No,No,S087,No
72,Male,OBC,Telangana,Senior Citizen,370447,No,Yes,S030,No
80,Male,General,Kerala,Senior Citizen,154451,Yes,No,S048,No
49,Female,General,Andhra Pradesh,Government Employee,467260,No,No,S036,No
43,Female,ST,Kerala,Senior Citizen,101679,No,No,S141,Yes
75,Female,SC,Kerala,Senior Citizen,459895,Yes,No,S124,No
77,Female,SC,Andhra Pradesh,Unemployed,148590,No,Yes,S122,No
65,Male,SC,Karnataka,Unemployed,287085,Yes,No,S004,No
39,Male,OBC,Maharashtra,Farmer,63320,Yes,Yes,S136,Yes
66,Male,General,Maharashtra,Unemployed,564839,Yes,No,S042,No
74,Female,OBC,Kerala,Private Employee,553899,Yes,No,S145,No
55,Female,SC,Tamil Nadu,Government Employee,311927,Yes,No,S146,No
45,Female,SC,Andhra Pradesh,Government Employee,564319,No,No,S037,No
51,Male,ST,Tamil Nadu,Farmer,397684,Yes,No,S099,No
36,Male,General,Tamil Nadu,Senior Citizen,543818,No,No,S011,No
58,Female,OBC,Telangana,Government Employee,136646,Yes,Yes,S083,Yes
43,Male,General,Tamil Nadu,Student,507286,Yes,No,S055,No
47,Male,OBC,Telangana,Senior Citizen,551378,Yes,No,S110,No
78,Female,SC,Maharashtra,Government Employee,477995,Yes,Yes,S090,No
68,Male,General,Kerala,Senior Citizen,148282,No,No,S037,Yes
57,Male,OBC,Maharashtra,Private Employee,476784,No,Yes,S081,No
32,Male,General,Telangana,Senior Citizen,485472,Yes,Yes,S076,No
30,Female,ST,Telangana,Government Employee,159562,Yes,Yes,S007,Yes
28,Male,General,Maharashtra,Government Employee,573430,Yes,No,S101,No
24,Female,ST,Telangana,Government Employee,507733,No,Yes,S119,No
79,Male,SC,Tamil Nadu,Farmer,481467,Yes,Yes,S120,No
78,Female,OBC,Andhra Pradesh,Student,323837,Yes,No,S110,No
29,Male,OBC,Maharashtra,Private Employee,169903,No,No,S071,Yes
20,Female,OBC,Karnataka,Private Employee,478703,Yes,No,S126,No
57,Male,OBC,Telangana,Unemployed,264564,Yes,No,S115,Yes
39,Male,SC,Telangana,Senior Citizen,446864,No,No,S035,No
60,Male,OBC,Kerala,Senior Citizen,78720,Yes,Yes,S117,Yes
79,Female,OBC,Karnataka,Unemployed,270172,No,Yes,S105,No
19,Female,SC,Maharashtra,Student,283597,No,Yes,S009,No
21,Male,SC,Maharashtra,Unemployed,310901,Yes,Yes,S012,No
52,Female,OBC,Maharashtra,Unemployed,572071,Yes,Yes,S034,No
61,Female,General,Telangana,Private Employee,106502,Yes,Yes,S012,Yes
67,Male,General,Kerala,Senior Citizen,56857,Yes,Yes,S086,Yes
46,Female,General,Tamil Nadu,Government Employee,377012,Yes,No,S130,Yes
80,Female,General,Kerala,Farmer,98010,No,Yes,S103,Yes
31,Male,ST,Andhra Pradesh,Private Employee,348233,Yes,No,S016,Yes
38,Male,SC,Karnataka,Private Employee,596451,No,Yes,S007,No
46,Female,ST,Kerala,Government Employee,68240,Yes,No,S070,No
50,Male,SC,Telangana,Senior Citizen,109138,Yes,Yes,S110,Yes
18,Male,General,Karnataka,Private Employee,158580,No,Yes,S066,Yes
21,Male,OBC,Andhra Pradesh,Senior Citizen,424075,No,Yes,S019,No
30,Female,SC,Andhra Pradesh,Student,59086,Yes,No,S093,Yes
71,Male,ST,Tamil Nadu,Senior Citizen,366465,Yes,Yes,S106,Yes
34,Male,OBC,Andhra Pradesh,Senior Citizen,99103,No,No,S099,Yes
69,Female,SC,Telangana,Government Employee,271589,No,No,S016,No
68,Female,General,Andhra Pradesh,Private Employee,243352,Yes,Yes,S058,Yes
70,Female,OBC,Telangana,Government Employee,496931,Yes,Yes,S092,No
22,Female,OBC,Kerala,Unemployed,148462,No,No,S036,Yes
52,Female,General,Kerala,Farmer,74963,Yes,Yes,S074,No
31,Male,ST,Maharashtra,Unemployed,129608,Yes,Yes,S029,Yes
39,Male,SC,Telangana,Government Employee,251199,No,Yes,S108,No
67,Female,SC,Tamil Nadu,Private Employee,278347,No,Yes,S035,Yes
19,Female,OBC,Telangana,Student,523403,No,Yes,S137,No
22,Male,SC,Telangana,Student,551506,No,No,S115,No
40,Male,SC,Karnataka,Student,126921,Yes,No,S109,Yes
20,Female,OBC,Tamil Nadu,Farmer,156080,No,Yes,S060,Yes
19,Female,OBC,Tamil Nadu,Senior Citizen,60607,Yes,No,S047,Yes
30,Female,General,Andhra Pradesh,Student,425924,No,No,S042,No
78,Male,OBC,Tamil Nadu,Senior Citizen,369865,No,No,S123,Yes
51,Female,SC,Tamil Nadu,Farmer,351288,Yes,Yes,S066,No
27,Female,OBC,Karnataka,Farmer,569735,Yes,Yes,S015,No
71,Female,OBC,Maharashtra,Government Employee,303908,Yes,Yes,S065,No
67,Female,General,Telangana,Unemployed,300015,Yes,No,S140,No
53,Male,SC,Maharashtra,Farmer,173047,No,No,S094,Yes
60,Female,SC,Karnataka,Senior Citizen,533075,Yes,No,S039,No
40,Male,General,Kerala,Private Employee,77665,No,No,S014,Yes
36,Male,General,Andhra Pradesh,Farmer,403460,Yes,No,S012,No
56,Female,SC,Karnataka,Senior Citizen,242222,Yes,No,S017,Yes
59,Male,SC,Andhra Pradesh,Government Employee,100723,Yes,Yes,S138,Yes
56,Female,OBC,Telangana,Private Employee,477305,Yes,Yes,S071,Yes
26,Male,SC,Maharashtra,Government Employee,533211,No,No,S090,No
37,Male,OBC,Kerala,Senior Citizen,469344,Yes,No,S027,No
26,Female,General,Andhra Pradesh,Private Employee,186174,No,Yes,S013,No
49,Female,SC,Andhra Pradesh,Student,194804,Yes,Yes,S131,Yes
65,Male,ST,Telangana,Student,128171,No,Yes,S131,Yes
35,Male,General,Telangana,Unemployed,393540,Yes,No,S028,No
31,Female,General,Karnataka,Government Employee,464231,Yes,Yes,S004,No
70,Male,ST,Telangana,Unemployed,120918,No,No,S146,No
54,Female,SC,Karnataka,Unemployed,411291,No,No,S071,Yes
67,Female,General,Telangana,Farmer,326339,Yes,Yes,S102,Yes
55,Female,ST,Karnataka,Farmer,466562,No,No,S106,Yes
47,Female,General,Telangana,Farmer,222918,Yes,No,S062,Yes
66,Female,OBC,Andhra Pradesh,Farmer,508151,No,Yes,S037,No
63,Male,General,Telangana,Student,236247,Yes,Yes,S141,No
55,Male,OBC,Karnataka,Senior Citizen,178847,Yes,Yes,S056,No
37,Male,ST,Telangana,Farmer,128532,No,No,S057,Yes
73,Male,ST,Tamil Nadu,Private Employee,221506,Yes,No,S032,No
33,Female,General,Karnataka,Farmer,123915,No,Yes,S083,Yes
27,Female,SC,Kerala,Farmer,454461,No,Yes,S001,No
64,Male,SC,Andhra Pradesh,Unemployed,576428,No,Yes,S025,No
64,Male,ST,Maharashtra,Student,505857,Yes,No,S064,No
51,Female,ST,Andhra Pradesh,Private Employee,579365,Yes,Yes,S130,No
45,Male,ST,Kerala,Student,172154,No,No,S097,Yes
63,Female,ST,Kerala,Private Employee,65804,No,Yes,S143,No
53,Female,General,Andhra Pradesh,Government Employee,248545,No,Yes,S145,Yes
73,Male,OBC,Maharashtra,Student,286190,No,No,S135,No
18,Female,SC,Andhra Pradesh,Private Employee,261937,Yes,No,S067,No
48,Female,OBC,Karnataka,Student,491748,No,No,S121,No
69,Female,SC,Karnataka,Student,512195,No,No,S080,No
58,Male,General,Maharashtra,Student,163265,No,Yes,S068,Yes
52,Male,OBC,Karnataka,Student,506743,No,No,S013,No
25,Female,ST,Karnataka,Farmer,366773,Yes,No,S105,No
61,Female,General,Telangana,Farmer,486888,Yes,Yes,S124,No
26,Female,General,Karnataka,Government Employee,599546,Yes,No,S099,No
61,Male,ST,Kerala,Farmer,429817,Yes,Yes,S031,No
66,Female,OBC,Tamil Nadu,Unemployed,285330,No,Yes,S043,No
33,Male,ST,Telangana,Unemployed,350669,Yes,No,S063,No
75,Female,ST,Tamil Nadu,Unemployed,163092,Yes,No,S105,No
42,Male,ST,Tamil Nadu,Senior Citizen,492989,No,Yes,S124,No
70,Female,SC,Telangana,Farmer,487178,Yes,Yes,S024,No
31,Female,General,Maharashtra,Senior Citizen,589925,No,No,S031,No
35,Female,SC,Kerala,Farmer,52321,No,No,S088,Yes
73,Female,SC,Telangana,Unemployed,109741,No,No,S143,No
41,Male,General,Maharashtra,Private Employee,126102,No,No,S132,Yes
64,Male,ST,Andhra Pradesh,Unemployed,91938,Yes,Yes,S103,Yes
20,Female,ST,Telangana,Student,271914,Yes,No,S009,No
75,Male,General,Andhra Pradesh,Senior Citizen,84592,Yes,No,S143,No
40,Female,OBC,Telangana,Government Employee,443355,No,Yes,S052,Yes
41,Female,General,Maharashtra,Private Employee,372186,No,No,S145,Yes
80,Male,General,Telangana,Private Employee,535028,No,Yes,S146,No
37,Female,ST,Telangana,Farmer,335521,No,Yes,S022,No
20,Female,SC,Maharashtra,Farmer,520959,Yes,No,S027,No
48,Female,General,Maharashtra,Government Employee,378324,No,Yes,S119,No
50,Male,SC,Karnataka,Private Employee,211267,Yes,Yes,S137,Yes
65,Female,OBC,Maharashtra,Unemployed,122191,Yes,Yes,S068,Yes
53,Male,OBC,Tamil Nadu,Senior Citizen,91284,No,Yes,S128,Yes
19,Female,General,Tamil Nadu,Government Employee,588724,No,Yes,S064,No
67,Male,General,Kerala,Senior Citizen,56857,Yes,Yes,S142,Yes
34,Female,OBC,Karnataka,Senior Citizen,187821,Yes,No,S105,No
39,Female,SC,Kerala,Unemployed,335396,No,Yes,S092,No
59,Male,General,Telangana,Unemployed,231574,Yes,No,S104,No
30,Male,General,Telangana,Government Employee,108559,No,No,S084,Yes
39,Female,ST,Karnataka,Government Employee,105537,No,No,S006,Yes
26,Male,General,Kerala,Private Employee,496866,No,Yes,S129,No
61,Female,General,Kerala,Unemployed,576170,No,Yes,S090,No
41,Female,General,Telangana,Senior Citizen,217267,No,No,S121,No
79,Male,General,Maharashtra,Private Employee,308855,Yes,Yes,S091,No
22,Female,OBC,Kerala,Unemployed,148462,No,No,S098,Yes
47,Female,OBC,Andhra Pradesh,Farmer,141898,Yes,No,S117,Yes
74,Male,SC,Telangana,Government Employee,315457,No,No,S150,No
69,Female,ST,Kerala,Unemployed,154580,Yes,Yes,S012,Yes
27,Male,OBC,Maharashtra,Senior Citizen,303529,Yes,Yes,S048,No
27,Female,OBC,Karnataka,Farmer,569735,Yes,Yes,S120,No
50,Male,OBC,Karnataka,Government Employee,79501,Yes,Yes,S130,Yes
36,Male,General,Tamil Nadu,Farmer,111076,Yes,No,S129,Yes
58,Male,ST,Karnataka,Student,366929,No,Yes,S114,No
57,Female,ST,Tamil Nadu,Private Employee,150375,No,No,S107,No
80,Female,General,Andhra Pradesh,Student,375270,Yes,No,S034,No
37,Male,ST,Andhra Pradesh,Student,196257,No,No,S062,Yes
29,Male,General,Telangana,Government Employee,186724,No,Yes,S118,Yes
37,Female,SC,Maharashtra,Farmer,185394,Yes,Yes,S022,Yes
57,Male,ST,Maharashtra,Government Employee,156756,No,Yes,S146,No
50,Male,ST,Kerala,Student,505519,Yes,Yes,S116,No
22,Male,General,Andhra Pradesh,Private Employee,197085,No,No,S081,No
36,Female,General,Andhra Pradesh,Senior Citizen,91013,Yes,No,S077,Yes
20,Female,OBC,Andhra Pradesh,Senior Citizen,319903,Yes,Yes,S007,Yes
48,Female,General,Karnataka,Government Employee,289304,Yes,Yes,S044,No
56,Female,ST,Kerala,Student,413898,Yes,Yes,S077,No
38,Female,SC,Maharashtra,Farmer,305496,No,No,S106,Yes
19,Female,General,Andhra Pradesh,Student,427196,Yes,Yes,S132,No
80,Male,ST,Andhra Pradesh,Student,199588,No,No,S050,Yes
71,Male,SC,Kerala,Student,257024,No,No,S075,Yes
66,Female,OBC,Kerala,Senior Citizen,219070,No,No,S052,Yes
72,Male,OBC,Andhra Pradesh,Private Employee,485914,No,Yes,S047,No
67,Male,General,Kerala,Farmer,96481,No,Yes,S068,Yes
48,Male,OBC,Karnataka,Senior Citizen,468727,Yes,No,S050,No
18,Female,ST,Karnataka,Farmer,163321,Yes,Yes,S088,Yes
56,Male,General,Karnataka,Senior Citizen,221108,Yes,No,S096,Yes
32,Male,OBC,Andhra Pradesh,Unemployed,508040,No,No,S057,No
68,Male,OBC,Maharashtra,Government Employee,353129,Yes,No,S124,No
70,Male,OBC,Maharashtra,Unemployed,70322,Yes,Yes,S111,No
40,Male,OBC,Karnataka,Unemployed,449474,Yes,No,S008,No
49,Male,General,Telangana,Student,257564,No,Yes,S148,Yes
68,Male,ST,Kerala,Unemployed,599678,Yes,Yes,S010,No
50,Male,OBC,Telangana,Government Employee,133186,Yes,Yes,S145,Yes
73,Male,ST,Tamil Nadu,Private Employee,221506,Yes,No,S070,No
49,Female,General,Telangana,Senior Citizen,512588,Yes,No,S060,No
22,Male,ST,Karnataka,Unemployed,373571,Yes,No,S134,No
55,Female,General,Karnataka,Farmer,591477,Yes,Yes,S078,No
71,Male,ST,Tamil Nadu,Senior Citizen,366465,Yes,Yes,S051,No
47,Female,ST,Andhra Pradesh,Unemployed,449745,Yes,No,S023,No
39,Female,OBC,Andhra Pradesh,Unemployed,375755,No,No,S055,Yes
57,Female,OBC,Maharashtra,Student,384411,Yes,No,S026,No
